# n one_over_n log2_n twelve_sqrt_n fifty_sqrt_n n_power_0_51 two_power_32_n n_log2_n n2_minus_324 hundred_n2_plus_6n two_n3 n_power_log2_n three_power_n
7.40 1.351351351351e-01 2.887525270742e+00 3.264352922097e+01 1.360147050874e+02 2.775288761845e+00 3.178275799040e+10 2.136768700349e+01 -2.692400000000e+02 5.520400000000e+03 8.104480000000e+02 3.235404288814e+02 3.393886270153e+03
7.50 1.333333333333e-01 2.906890595609e+00 3.286335345031e+01 1.369306393763e+02 2.794352847597e+00 3.221225472000e+10 2.180167946706e+01 -2.677500000000e+02 5.670000000000e+03 8.437500000000e+02 3.497094411211e+02 3.787995116153e+03
7.60 1.315789473684e-01 2.925999418556e+00 3.308171700502e+01 1.378404875209e+02 2.813292782743e+00 3.264175144960e+10 2.223759558103e+01 -2.662400000000e+02 5.821600000000e+03 8.779520000000e+02 3.777983517588e+02 4.227869132266e+03
7.70 1.298701298701e-01 2.944858445808e+00 3.329864862123e+01 1.387443692551e+02 2.832110993599e+00 3.307124817920e+10 2.267541003272e+01 -2.647100000000e+02 5.975200000000e+03 9.130660000000e+02 4.079338076932e+02 4.718822715304e+03
7.80 1.282051282051e-01 2.963474123975e+00 3.351417610505e+01 1.396424004377e+02 2.850809828262e+00 3.350074490880e+10 2.311509816700e+01 -2.631600000000e+02 6.130800000000e+03 9.491040000000e+02 4.402499052904e+02 5.266787386709e+03
7.90 1.265822784810e-01 2.981852653290e+00 3.372832637413e+01 1.405346932256e+02 2.869391560100e+00 3.393024163840e+10 2.355663596099e+01 -2.615900000000e+02 6.288400000000e+03 9.860780000000e+02 4.748885777310e+02 5.878383455015e+03
8.00 1.250000000000e-01 3.000000000000e+00 3.394112549695e+01 1.414213562373e+02 2.887858391045e+00 3.435973836800e+10 2.400000000000e+01 -2.600000000000e+02 6.448000000000e+03 1.024000000000e+03 5.120000000000e+02 6.561000000000e+03
8.10 1.234567901235e-01 3.017921907997e+00 3.415259872982e+01 1.423024947076e+02 2.906212454697e+00 3.478923509760e+10 2.444516745478e+01 -2.583900000000e+02 6.609600000000e+03 1.062882000000e+03 5.517430122158e+02 7.322884144836e+03
8.20 1.219512195122e-01 3.035623909731e+00 3.436277055186e+01 1.431782106328e+02 2.924455819260e+00 3.521873182720e+10 2.489211605979e+01 -2.567600000000e+02 6.773200000000e+03 1.102736000000e+03 5.942855620200e+02 8.173240694817e+03
8.30 1.204819277108e-01 3.053111336460e+00 3.457166469813e+01 1.440486029089e+02 2.942590490320e+00 3.564822855680e+10 2.534082409261e+01 -2.551100000000e+02 6.938800000000e+03 1.143574000000e+03 6.398051667727e+02 9.122343346443e+03
8.40 1.190476190476e-01 3.070389327891e+00 3.477930419085e+01 1.449137674619e+02 2.960618413467e+00 3.607772528640e+10 2.579127035429e+01 -2.534400000000e+02 7.106400000000e+03 1.185408000000e+03 6.884893963217e+02 1.018165881046e+04
8.50 1.176470588235e-01 3.087462841250e+00 3.498571136907e+01 1.457737973711e+02 2.978541476784e+00 3.650722201600e+10 2.624343415063e+01 -2.517500000000e+02 7.276000000000e+03 1.228250000000e+03 7.405363771444e+02 1.136398534846e+04
8.60 1.162790697674e-01 3.104336659815e+00 3.519090791668e+01 1.466287829862e+02 2.996361513199e+00 3.693671874560e+10 2.669729527441e+01 -2.500400000000e+02 7.447600000000e+03 1.272112000000e+03 7.961553186816e+02 1.268360739680e+04
8.70 1.149425287356e-01 3.121015400961e+00 3.539491488901e+01 1.474788120375e+02 3.014080302718e+00 3.736621547520e+10 2.715283398836e+01 -2.483100000000e+02 7.621200000000e+03 1.317006000000e+03 8.555670627143e+02 1.415646814591e+04
8.80 1.136363636364e-01 3.137503523750e+00 3.559775273806e+01 1.483239697419e+02 3.031699574541e+00 3.779571220480e+10 2.761003100900e+01 -2.465600000000e+02 7.796800000000e+03 1.362944000000e+03 9.190046566603e+02 1.580036216013e+04
8.90 1.123595505618e-01 3.153805336079e+00 3.579944133642e+01 1.491643389018e+02 3.049221009074e+00 3.822520893440e+10 2.806886749110e+01 -2.447900000000e+02 7.974400000000e+03 1.409938000000e+03 9.867139516971e+02 1.763515036505e+04
9.00 1.111111111111e-01 3.169925001442e+00 3.600000000000e+01 1.500000000000e+02 3.066646239835e+00 3.865470566400e+10 2.852932501298e+01 -2.430000000000e+02 8.154000000000e+03 1.458000000000e+03 1.058954226646e+03 1.968300000000e+04
9.10 1.098901098901e-01 3.185866545311e+00 3.619944750960e+01 1.508310312900e+02 3.083976855270e+00 3.908420239360e+10 2.899138556233e+01 -2.411900000000e+02 8.335600000000e+03 1.507142000000e+03 1.135998838586e+03 2.196865243451e+04
9.20 1.086956521739e-01 3.201633861170e+00 3.639780213145e+01 1.516575088810e+02 3.101214400472e+00 3.951369912320e+10 2.945503152276e+01 -2.393600000000e+02 8.519200000000e+03 1.557376000000e+03 1.218135901189e+03 2.451972208445e+04
